Year,Quarter,QuarterLabel,B1 (Thiamine) (mg),B2 (Riboflavin) (mg),B3 (Niacin) (mg),B5 (Pantothenic Acid) (mg),B6 (Pyridoxine) (mg),Vitamin D (IU),Iron (mg),Zinc (mg),Leucine (g),Lysine (g),Methionine (g),B12 (Cobalamin) (Âµg)
2022,4,2022-Q4,,,,,,,,,,,,
2023,1,2023-Q1,,,,,,,,,,,,
2023,2,2023-Q2,,,,,,,,,,,,
2023,3,2023-Q3,,,,,,,,,,,,
2023,4,2023-Q4,,,,,,,,,,,,
2024,1,2024-Q1,1.7350819672131148,15.44295081967213,52.033934426229514,3.670819672131148,12.249508196721312,70.59491803278688,18.902131147540985,19.454426229508197,5.483114754098361,4.128688524590164,1.2232786885245903,81.65983606557377
2024,2,2024-Q2,1.2115384615384615,6.578461538461538,23.75153846153846,3.1753846153846155,4.285384615384616,54.23230769230769,14.585384615384614,11.283076923076923,4.656923076923077,3.5384615384615383,0.9946153846153846,3.026923076923077
2024,3,2024-Q3,,,,,,,,,,,,
2024,4,2024-Q4,,,,,,,,,,,,
2025,1,2025-Q1,,,,,,,,,,,,
2025,2,2025-Q2,5.133684210526316,3.1266666666666665,56.419122807017544,9.512456140350878,5.049298245614035,816.1682456140351,29.630350877192985,20.53140350877193,5.737719298245614,4.673859649122807,1.186842105263158,924.1743859649123
2025,3,2025-Q3,2.746216216216216,2.080540540540541,50.709466666666664,8.163378378378379,63.208933333333334,2933.3845,33.016202531645575,21.714266666666667,5.87472972972973,5.504133333333334,1.337162162162162,1216.34
2025,4,2025-Q4,1.27,1.23,13.66,3.07,51.37,4001.5,16.86,26.76,2.73,1.85,0.67,1500.84
